State,County,Website,Population,Coordinates,Wikidata ID
Texas,Aransas County,http://www.aransascountytx.gov/main/,24356,Point(-96.99 28.1),Q107982
Texas,Milam County,http://www.co.milam.tx.us,24167,Point(-96.98 30.79),Q26716
Texas,Panola County,http://www.co.panola.tx.us,23870,Point(-94.31 32.16),Q156380
Texas,Hockley County,http://www.co.hockley.tx.us,23530,Point(-102.34 33.61),Q483847
Texas,Limestone County,http://www.co.limestone.tx.us,23326,Point(-96.58 31.54),Q109616
Texas,Gray County,http://www.co.gray.tx.us,23043,Point(-100.81256 35.40116),Q109312
Texas,Gray County,http://www.co.gray.tx.us,23043,Point(-100.81 35.41),Q109312
Texas,Houston County,http://www.co.houston.tx.us,22911,Point(-95.43 31.32),Q156496
Texas,Moore County,http://www.co.moore.tx.us,22141,Point(-101.89 35.84),Q156464
Texas,Willacy County,http://www.co.willacy.tx.us/,21921,Point(-97.6 26.49),Q114503
Texas,Hutchinson County,http://www.co.hutchinson.tx.us,21819,Point(-101.36 35.84),Q484542
Texas,Calhoun County,http://www.calhouncotx.org,21806,Point(-96.61 28.44),Q26605
Texas,Tyler County,http://www.co.tyler.tx.us,21464,Point(-94.38 30.77),Q26502
Texas,Colorado County,http://www.co.colorado.tx.us,20752,Point(-96.52 29.62),Q26885
Texas,Bandera County,https://www.banderacounty.org/,20601,Point(-99.23 29.74),Q108367
Texas,DeWitt County,http://www.co.dewitt.tx.us/,20503,Point(-97.36 29.08),Q26712
Texas,Gonzales County,http://www.co.gonzales.tx.us,20312,Point(-97.49 29.45),Q26614
Texas,Lampasas County,http://www.co.lampasas.tx.us,20222,Point(-98.24 31.19),Q113919
Texas,Jones County,http://www.co.jones.tx.us,19859,Point(-99.88 32.74),Q483895
Texas,Freestone County,http://www.co.freestone.tx.us,19646,Point(-96.15 31.7),Q110565
Texas,Lavaca County,http://www.co.lavaca.tx.us,19581,Point(-96.94 29.38),Q27023
Texas,Montague County,http://www.co.montague.tx.us,19503,Point(-97.73 33.67),Q484574
Texas,Llano County,http://www.co.llano.tx.us,19444,Point(-98.68 30.71),Q110336
Texas,Deaf Smith County,http://www.co.deaf-smith.tx.us,19177,Point(-102.6 34.97),Q109804
Texas,Gaines County,http://www.co.gaines.tx.us,18921,Point(-102.64 32.74),Q109836
Texas,Young County,http://www.co.young.tx.us,18341,Point(-98.7 33.18),Q156613
Texas,Eastland County,http://www.co.eastland.tx.us,18245,Point(-98.83 32.33),Q156270
Texas,Frio County,http://www.co.frio.tx.us,18065,Point(-99.11 28.86),Q27011
Texas,Bosque County,http://www.bosquecounty.us,17855,Point(-97.63 31.9),Q108424
Texas,Falls County,http://www.co.falls.tx.us/,17493,Point(-96.93 31.26),Q27238
Texas,Scurry County,http://www.co.scurry.tx.us,17302,Point(-100.92 32.75),Q111759
Texas,Burleson County,http://www.co.burleson.tx.us,17169,Point(-96.62 30.49),Q108821
Texas,Andrews County,http://www.co.andrews.tx.us,16799,Point(-102.64 32.3),Q108534
